;Bande;CP;Peuplement;Travail_sol_J90;Ajout_phyto_30J;Ajout_ferti_30J;Temp_quali;Pluie_quali;year;Saison;Pic_O3;Pic_J45;Pic_J182
245;bi;colza;colza_ge._fe._le.ve._tr.;False;0.0;1.0;moyenne;sup a la moy;2020;hiver;1;1;1
246;bio;feverolle;feverolle;False;0.0;0.0;moyenne;sup a la moy;2020;hiver;0;0;0
247;elev;colza;colza;False;0.0;1.0;moyenne;sup a la moy;2020;hiver;1;1;1
248;ref;colza;colza;False;0.0;1.0;moyenne;sup a la moy;2020;hiver;1;1;1
249;acs;colza;colza;False;0.0;1.0;basse;sup a la moy;2020;hiver;0;1;1
250;pn;colza;colza;False;0.0;1.0;basse;sup a la moy;2020;hiver;0;1;1
251;bi;colza;colza_ge._fe._le.ve._tr.;False;0.0;1.0;basse;sup a la moy;2020;hiver;0;1;1
252;bio;feverolle;feverolle;False;0.0;0.0;basse;sup a la moy;2020;hiver;1;1;1
253;elev;colza;colza;False;0.0;1.0;basse;sup a la moy;2020;hiver;1;1;1
254;ref;colza;colza;False;0.0;1.0;basse;sup a la moy;2020;hiver;0;1;1
255;acs;colza;colza;False;1.0;1.0;moyenne;inf a la moy;2020;hiver;1;1;1
256;pn;colza;colza;False;1.0;1.0;moyenne;inf a la moy;2020;hiver;1;1;1
257;bi;colza;colza;False;1.0;1.0;moyenne;inf a la moy;2020;hiver;1;1;1
258;bio;feverolle;feverolle;False;0.0;0.0;moyenne;inf a la moy;2020;hiver;0;0;0
259;elev;colza;colza;False;1.0;1.0;moyenne;inf a la moy;2020;hiver;0;1;1
260;ref;colza;colza;False;1.0;1.0;moyenne;inf a la moy;2020;hiver;0;1;1
261;acs;colza;colza;False;1.0;1.0;moyenne;absence;2020;hiver;0;0;1
262;pn;colza;colza;False;1.0;1.0;moyenne;absence;2020;hiver;1;1;1
263;bi;colza;colza;False;1.0;1.0;moyenne;absence;2020;hiver;1;1;1
264;bio;feverolle;feverolle;True;0.0;0.0;moyenne;absence;2020;hiver;1;1;1
265;elev;colza;colza;False;1.0;0.0;moyenne;absence;2020;hiver;1;0;1
266;ref;colza;colza;False;1.0;1.0;moyenne;absence;2020;hiver;1;1;1
267;acs;colza;colza;False;1.0;1.0;basse;absence;2020;printemps;0;0;0
268;pn;colza;colza;False;1.0;1.0;basse;absence;2020;printemps;0;0;0
269;bi;colza;colza;False;1.0;1.0;basse;absence;2020;printemps;0;0;0
270;bio;feverolle;feverolle;True;0.0;0.0;basse;absence;2020;printemps;0;0;0
271;elev;colza;colza;False;1.0;0.0;basse;absence;2020;printemps;0;0;0
272;ref;colza;colza;False;1.0;1.0;basse;absence;2020;printemps;0;0;0
273;acs;colza;colza;False;1.0;0.0;moyenne;absence;2020;printemps;0;0;0
274;pn;colza;colza;False;1.0;0.0;moyenne;absence;2020;printemps;0;0;0
275;bi;colza;colza;False;1.0;0.0;moyenne;absence;2020;printemps;0;0;0
276;bio;feverolle;feverolle;True;0.0;0.0;moyenne;absence;2020;printemps;1;1;1
277;elev;colza;colza;False;1.0;0.0;moyenne;absence;2020;printemps;1;0;0
